step,s,e,i,q,r,d,total,total_infected
0,2473,0,27,0,0,0,2500,27
1,2448,25,27,0,0,0,2500,27
2,2432,41,27,0,0,0,2500,27
3,2418,55,24,3,0,0,2500,27
4,2406,67,23,4,0,0,2500,27
5,2406,67,10,17,0,0,2500,27
6,2405,68,3,24,0,0,2500,27
7,2405,68,2,24,0,1,2500,27
8,2405,68,1,24,0,2,2500,27
9,2419,43,11,25,0,2,2500,38
